t	rollEr	q	u
0.00102210044861	5.59	-4.59469624109	-0.137840887233
0.00464105606079	5.62	8.28968443244	0.248690532973
0.0142271518707	5.65	3.12953266844	0.0938859800532
0.0241560935974	5.7	5.03578340737	0.151073502221
0.0341351032257	5.75	5.01051726198	0.150315517859
0.0441009998322	5.83	8.02737607656	0.240821282297
0.0541429519653	5.95	11.9498677556	0.358496032669
0.0640759468079	6.06	11.0742028707	0.332226086122
0.0740690231323	6.21	15.0103927089	0.450311781266
0.0840871334076	6.47	25.9529984055	0.778589952164
0.0940821170807	6.72	25.0125471113	0.750376413339
0.104244947433	6.96	23.6154684934	0.708464054802
0.114098072052	7.18	22.3279425073	0.66983827522
0.124125003815	7.4	21.9409092638	0.658227277915
0.13410115242	7.61	21.0502076811	0.631506230433
0.144086122513	7.81	20.0301050621	0.600903151862
0.154083967209	8.0	19.0040959603	0.57012287881
0.164072036743	8.16	16.0191115461	0.480573346382
0.174081087112	8.32	15.9855325028	0.479565975084
0.184085130692	8.47	14.9939370829	0.449818112488
0.194081068039	8.6	13.0052835949	0.390158507847
0.204128026962	8.69	8.95793450403	0.268738035121
0.214096069336	8.74	5.01603004138	0.150480901241
0.224076986313	8.76	2.00382390177	0.0601147170532
0.234074115753	8.76	0.0	0.0
0.24406003952	8.76	0.0	0.0
0.254045009613	8.77	1.0015052531	0.0300451575931
0.264078140259	8.78	0.996697875576	0.0299009362673
0.274078130722	8.78	0.0	0.0
0.284090042114	8.81	2.99643083371	0.0898929250113
0.294624090195	8.85	3.79721069189	0.113916320757
0.30409693718	8.9	5.27824423638	0.158347327092
0.314070940018	8.97	7.01824544629	0.210547363389
0.324067115784	9.05	8.00306055764	0.240091816729
0.334078073502	9.18	12.985770559	0.389573116769
0.344079971313	9.31	12.9975333127	0.38992599938
0.354087114334	9.44	12.9907207014	0.389721621042
0.369084119797	9.58	9.33519697307	0.280055909192
0.379008054733	9.73	15.1149721315	0.453449163944
0.388983011246	9.93	20.0502127253	0.601506381758
0.398949146271	10.16	23.0781541111	0.692344623334
0.409234046936	10.43	26.2520765914	0.787562297742
0.419213056564	10.73	30.0631035719	0.901893107156
0.429233074188	11.03	29.9400670997	0.898202012992
0.439214944839	11.37	34.0617517376	1.02185255213
0.44925904274	11.81	43.8068211166	1.3142046335
0.459192991257	12.38	57.3789967839	1.72136990352
0.469201087952	13.07	68.9441780022	2.06832534007
0.479176044464	13.87	80.2008509011	2.40602552703
0.489215135574	14.73	85.6651255136	2.56995376541
0.49924492836	15.6	86.7415726918	2.60224718075
0.509238958359	16.44	84.0501779665	2.521505339
0.519207954407	17.14	70.2177026284	2.10653107885
0.529251098633	17.71	56.7551343652	1.70265403096
0.539247989655	18.16	45.0139947532	1.35041984259
0.549265146255	18.57	40.9297784125	1.22789335237
0.55922293663	18.98	41.1737930374	1.23521379112
0.569129943848	19.37	39.3660760956	1.18098228287
0.579236984253	19.85	47.4916474807	1.42474942442
0.590131998062	20.44	54.1532126835	1.62459638051
0.59928393364	21.23	86.320537696	2.58961613088
0.609261035919	22.23	100.229502712	3.00688508137
0.619230985641	23.28	105.316478944	3.15949436832
0.629254102707	24.33	104.757830637	3.14273491912
0.639220952988	25.47	114.379163716	3.43137491149
0.649178028107	26.66	119.513008165	3.58539024495
0.659237146378	27.93	126.253610486	3.78760831457
0.669274091721	29.25	131.514116585	3.94542349755
0.679243087769	30.69	144.447845407	4.33343536221
0.68923997879	32.15	146.045405199	4.38136215597
0.699241161346	33.58	142.983091447	4.2894927434
0.709239006042	34.96	138.029749607	4.1408924882
0.719203948975	36.25	129.45382716	3.88361481481
0.729201078415	37.48	123.035318022	3.69105954067
0.739228010178	38.72	123.666943123	3.7100082937
0.749241113663	39.98	125.835112148	3.77505336445
0.759256124496	41.2	121.817142313	3.65451426939
0.769231081009	42.36	116.291233807	3.4887370142
0.779245138168	43.49	112.841377077	3.38524131232
0.789235115051	44.61	112.112371542	3.36337114627
0.799241065979	45.75	113.932199771	3.41796599314
0.809200048447	46.94	119.490118982	3.58470356946
0.819127082825	48.2	126.926124361	3.80778373082
0.829240083694	49.48	126.569750807	3.79709252422
0.839262008667	50.75	126.722162008	3.80166486024
0.849566936493	51.96	117.419551155	3.52258653464
0.859400033951	53.14	120.002878549	3.60008635647
0.869328022003	54.32	118.855904517	3.56567713552
0.879281044006	55.5	118.556956834	3.55670870503
0.889245033264	56.72	122.440918836	3.67322756508
0.899189949036	57.97	125.692366705	3.77077100115
0.909287929535	59.22	123.787127544	3.71361382632
0.91924405098	60.49	127.559713595	3.82679140784
0.929254055023	61.66	116.883069668	3.50649209003
0.939267158508	62.75	108.857358922	3.26572076766
0.949265003204	63.8	105.02263557	3.15067906711
0.959275960922	64.82	101.888353616	3.05665060849
0.969337940216	65.86	103.359385826	3.10078157477
0.979226112366	66.93	108.210090177	3.24630270531
0.98925113678	68.01	107.730410959	3.23191232877
0.999237060547	69.05	104.146599179	3.12439797536
1.00926399231	70.0	94.7448354575	2.84234506372
1.01923108101	70.89	89.2938777658	2.67881633297
1.02926492691	71.83	93.6829217061	2.81048765118
1.03926205635	72.87	104.029862393	3.12089587179
1.04923701286	74.0	113.283701898	3.39851105693
1.05922198296	75.2	120.180630372	3.60541891117
1.06912112236	76.43	124.253225434	3.72759676301
1.07923007011	77.57	112.771381132	3.38314143396
1.08926010132	78.66	108.673639972	3.26020919917
1.09925794601	79.72	106.022851147	3.18068553441
1.10949397087	80.84	109.417475602	3.28252426805
1.11904406548	82.02	123.55898542	3.70676956261
